"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:20:254 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-persons","[step]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"3","300","89","39.7546468401487"
"1","1","498","0"
"2","50","350","20.1"
"1","1","499","0"
"1","1","500","0"
"2","50","351","19.242424242424242"
"1","1","501","0.5"
"1","1","502","1"
"2","50","352","18.61111111111111"
"1","1","503","0"
"3","300","90","40.457564575645755"
"1","1","504","0"
"2","50","353","20.137931034482758"
"1","1","505","0"
"1","1","506","0"
"1","1","507","0.5"
"2","50","354","18.666666666666668"
"1","1","508","1"
"3","300","91","40.435251798561154"
"1","1","509","0"
"2","50","355","17.62162162162162"
"1","1","510","0"
"2","50","356","14.5"
"1","1","511","0"
"1","1","512","0"
"2","50","357","14.5625"
"3","300","92","41.12267657992565"
"1","1","513","0"
"1","1","514","0"
"2","50","358","14.676470588235293"
"1","1","515","0"
"1","1","516","0"
"2","50","359","15.206896551724139"
"3","300","93","41.96666666666667"
"2","50","360","15.193548387096774"
"2","50","361","14.428571428571429"
"3","300","94","42.05072463768116"
"2","50","362","17.357142857142858"
"1","1","517","0"
"2","50","363","17.724137931034484"
"1","1","518","0"
"3","300","95","44.1"
"1","1","519","0"
"2","50","364","15.657142857142857"
"1","1","520","0"
"2","50","365","16.375"
"1","1","521","0"
"1","1","522","0"
"2","50","366","15.942857142857143"
"1","1","523","0"
"2","50","367","15.657894736842104"
"1","1","524","0"
"2","50","368","17.393939393939394"
"1","1","525","0"
"3","300","96","44.1015037593985"
"2","50","369","16.916666666666668"
"2","50","370","17.43243243243243"
"3","300","97","43.654545454545456"
"2","50","371","19.806451612903224"
"2","50","372","18.514285714285716"
"1","1","526","0.5"
"2","50","373","16.78048780487805"
"3","300","98","44.20676691729323"
"1","1","527","0"
"2","50","374","18.727272727272727"
"1","1","528","0"
"2","50","375","19.147058823529413"
"1","1","529","0"
"1","1","530","0"
"2","50","376","16.853658536585368"
"3","300","99","44.54814814814815"
"1","1","531","0"
"2","50","377","20.46875"
"1","1","532","0.5"
"1","1","533","0"
"2","50","378","20.235294117647058"
"1","1","534","0"
"1","1","535","0"
"2","50","379","19.56756756756757"
"3","300","100","44.418772563176894"
"1","1","536","0"
"1","1","537","0"
"2","50","380","21.129032258064516"
"1","1","538","0"
"1","1","539","0"
"1","1","540","0"
"2","50","381","19.685714285714287"
"1","1","541","0"
